DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Thunderball,Ball Set,Machine,DrawNumber
12-Jan-2022,31,4,7,18,26,1,T6,Excalibur 3,2999
11-Jan-2022,17,6,16,18,7,11,T6,Excalibur 3,2998
08-Jan-2022,26,27,38,10,15,13,T5,Excalibur 2,2997
07-Jan-2022,15,4,34,16,30,14,T5,Excalibur 2,2996
05-Jan-2022,34,30,5,21,16,7,T5,Excalibur 2,2995
04-Jan-2022,34,13,32,31,6,1,T5,Excalibur 2,2994
01-Jan-2022,10,8,4,6,18,7,T8,Excalibur 2,2993
31-Dec-2021,12,37,11,2,6,13,T8,Excalibur 2,2992
29-Dec-2021,33,14,13,19,37,10,T8,Excalibur 2,2991
28-Dec-2021,38,13,4,2,28,4,T8,Excalibur 2,2990
25-Dec-2021,25,35,39,31,26,5,T7,Excalibur 3,2989
24-Dec-2021,7,29,38,32,22,6,T7,Excalibur 3,2988
22-Dec-2021,26,25,36,30,10,4,T7,Excalibur 3,2987
21-Dec-2021,24,12,1,19,34,9,T7,Excalibur 3,2986
